Season,Time
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0
summer,0.01
summer,0.06
summer,0.06
summer,0.07
summer,0.07
summer,0.07
summer,0.07
summer,0.08
summer,0.08
summer,0.08
summer,0.09
summer,0.09
summer,0.09
summer,0.09
summer,0.09
summer,0.1
summer,0.1
summer,0.1
summer,0.1
summer,0.1
summer,0.1
summer,0.1
summer,0.1
summer,0.1
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.11
summer,0.12
summer,0.12
summer,0.12
summer,0.12
summer,0.12
summer,0.12
summer,0.13
summer,0.13
summer,0.13
summer,0.13
summer,0.13
summer,0.13
summer,0.13
summer,0.13
summer,0.13
summer,0.13
summer,0.13
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.14
summer,0.15
summer,0.15
summer,0.15
summer,0.15
summer,0.15
summer,0.15
summer,0.15
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.16
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.17
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
summer,0.18
